generator,dataset,baseline,frozen_delta,topicgpt_delta,ordering_changed
GPT-4.1 mini,bills,bertopic,0.20815995707474194,0.20442346212733892,False
GPT-4.1 mini,bills,kmeans,-0.0544206160878703,-0.04280601293163122,False
GPT-4.1 mini,bills,direct_hybrid,-0.02228129082101471,-0.01609475693797152,False
GPT-4.1 mini,bills,initial,0.010796040031346599,0.011955792660016284,False
GPT-4.1 mini,sib200,bertopic,0.21514791009286083,0.246629689069787,False
GPT-4.1 mini,sib200,kmeans,-0.007498264427355128,-0.021745373953169334,False
GPT-4.1 mini,sib200,direct_hybrid,-0.05028698572633339,-0.07924994781242822,False
GPT-4.1 mini,sib200,initial,0.0,0.0,False
GPT-4.1 mini,massive,bertopic,-0.06416415287209476,-0.0970983462039881,False
GPT-4.1 mini,massive,kmeans,-0.0714366226887897,-0.0873564523767873,False
GPT-4.1 mini,massive,direct_hybrid,0.042533413587816815,0.041444477307627514,False
GPT-4.1 mini,massive,initial,0.0025451732080967737,0.0019100097322376497,False
GPT-4.1 mini,ag_news,bertopic,0.05262682024373788,0.14857141844471744,False
GPT-4.1 mini,ag_news,kmeans,0.11326645897463716,0.10755030709905711,False
GPT-4.1 mini,ag_news,direct_hybrid,0.009056708160388616,0.02908494700601283,False
GPT-4.1 mini,ag_news,initial,-0.007524808984952447,-0.005304283626982986,False
Luna,bills,bertopic,0.25581270150801955,0.2578241355301684,False
Luna,bills,kmeans,-0.00742255327283714,0.0008525775671422986,True
Luna,bills,direct_hybrid,-0.03162230865207438,-0.040012559318854,False
Luna,bills,initial,0.002488454404869611,0.0020789716126173863,False
Luna,sib200,bertopic,0.15898966799236075,0.22162542714598504,False
Luna,sib200,kmeans,-0.041233203461605916,-0.0307529326073101,False
Luna,sib200,direct_hybrid,-0.08600634071508734,-0.08962560150915971,False
Luna,sib200,initial,0.0,0.0,False
Luna,massive,bertopic,0.07473979007741027,0.0741300245648171,False
Luna,massive,kmeans,0.018746900225954266,-0.015210841945778264,True
Luna,massive,direct_hybrid,-0.007662976934237231,-0.006307652482010151,False
Luna,massive,initial,0.0,0.0,False
Luna,ag_news,bertopic,-0.021661189582988682,0.05700098184415958,True
Luna,ag_news,kmeans,0.16317105912939556,0.14666095426150122,False
Luna,ag_news,direct_hybrid,0.049423007850348255,0.03790808550196201,False
Luna,ag_news,initial,0.0,0.0,False
